Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C3,C4,C5",C_0603,C14663,5
10kΩ,R1,R_0603,C25804,1
10nF,C9,C_0603,C57112,1
1uF,"C7,C8",C_0603,C15849,2
4.7uF,C6,C_0805,C1779,1
CH32V003F4U6,U2,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,C5299908,1
CH32X035G8U6,U4,WQFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm,C7437027,1
ICE40UP5K-SG48ITR,U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C2889329,1
RESET,S1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884,1
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C8734,1
X322516MLB4SI,X1,OSC-SMD_4P-L3.2-W2.5-BL,C13738,1
~,FB1,FB_0805,C1017,1
