Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,94.765,-58.95,0.0,top
C2,100nF,C_0603,94.765,-61.2,0.0,top
C3,100nF,C_0603,94.765,-63.45,0.0,top
C4,100nF,C_0603,94.765,-65.7,0.0,top
C5,100nF,C_0603,94.765,-67.95,0.0,top
C6,4.7uF,C_0805,103.465,-80.01,0.0,top
C7,1uF,C_0603,94.765,-70.2,0.0,top
C8,1uF,C_0603,94.765,-72.45,0.0,top
C9,10nF,C_0603,94.765,-74.7,0.0,top
FB1,~,FB_0805,98.965,-79.86,0.0,top
R1,10kΩ,R_0603,94.665,-76.95,0.0,top
S1,RESET,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,77.3,-69.15,0.0,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,108.55,-56.36,0.0,top
U2,CH32V003F4U6,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,117.7,-57.15,0.0,top
U3,ICE40UP5K-SG48ITR,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,106.3625,-69.25,0.0,top
U4,CH32X035G8U6,WQFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm,118.6375,-80.6,0.0,top
X1,X322516MLB4SI,OSC-SMD_4P-L3.2-W2.5-BL,126.2,-62.12,0.0,top
