Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C17, C23, C25, C27, C28, C3",C_0603,13,100nF,C14663
"C13, C9",C_0603,2,10pF,C1634
"C18, C2, C22, C24, C26, C6",C_0805,6,4.7uF,C1779
"C19, C20",C_0603,2,1uF,C15849
C21,C_0603,1,10nF,C57112
"C4, C5, C7, C8",C_0805,4,22uF,C45783
D1,D_SMA,1,M4,C18199095
D2,D_0805,1,1V2 ON - Green,C2297
D3,D_0805,1,3V3 ON - Green,C2297
D4,D_0805,1,VBUS ON - Green,C2297
D5,D_0805,1,Configuration Ready - Green,C2297
FB1,FB_0805,1,~,C1017
"J1, J3",TYPE-C-SMD_HX-TYPE-C-16PIN,2,"Connector, USB-TYPE-C-16P",C2927039
J2,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Pin,
PN1,Part_Num_JLCPCB,1,iCEBrainrot,
Q1,Q_SOT-23,1,HL2312,C28646272
"R1, R12, R19, R2, R20, R8",R_0603,6,15kΩ,C22809
"R10, R11, R16, R6, R7, R9",R_0603,6,1.5kΩ,C22843
"R14, R15, R3, R4",R_0603,4,5.1kΩ,C23186
"R17, R18",R_0603,2,68Ω,C27592
R21,R_0603,1,2.2kΩ,C4190
R5,R_0603,1,100Ω,C22775
"S1, S2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,RESET,C318884
"SW1, SW2",SW_DIP_SPSTx08_Slide_6.7x21.88mm_W7.62mm_P2.54mm_LowProfile,2,SW_DIP_x08,
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-1.2,C14529
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F412RETx,C89374
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,C2678152
U5,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,16 MHz,C13738
