Designator,Mid X,Mid Y,Rotation,Layer
C1,75.135,-71.425,0.0,top
C10,80.645,-74.295,180.0,top
C11,92.71,-97.155,225.0,top
C12,81.577543,-85.046457,45.0,top
C13,92.583,-79.883,315.0,top
C14,97.325543,-94.023543,135.0,top
C15,78.867,-90.297,180.0,top
C16,81.77,-104.394,180.0,top
C17,81.28,-92.71,315.0,top
C18,81.77,-99.454,180.0,top
C19,84.836,-97.536,225.0,top
C2,129.685,-71.405,0.0,top
C20,83.82,-95.25,315.0,top
C22,128.8288,-76.1492,0.0,top
C23,121.666,-92.456,270.0,top
C24,117.094,-91.948,315.0,top
C25,110.49,-81.534,90.0,top
C26,115.57,-94.361,315.0,top
C27,104.902,-84.582,180.0,top
C28,92.24,-120.345,0.0,top
C29,108.585,-80.01,90.0,top
C3,71.325,-71.425,0.0,top
C30,107.696,-94.996,225.0,top
C31,100.33,-114.935,180.0,top
C32,114.805,-120.345,0.0,top
C33,88.392,-113.538,270.0,top
C34,85.09,-114.252,0.0,top
C4,125.685,-71.405,0.0,top
C5,128.8288,-78.3992,0.0,top
C6,114.808,-95.504,315.0,top
C7,108.712,-96.012,225.0,top
C8,98.341543,-91.904457,225.0,top
C9,114.808,-98.7806,270.0,top
D1,101.6,-68.58,90.0,top
D13,89.535,-78.105,270.0,top
D2,99.06,-68.58,90.0,top
D3,96.52,-68.58,90.0,top
D4,104.14,-68.58,270.0,top
D5,104.14,-122.86,270.0,top
D6,101.6,-122.86,270.0,top
D7,99.06,-122.86,270.0,top
D8,96.52,-122.86,270.0,top
FB1,81.77,-101.954,270.0,top
J1,89.535,-64.85,180.0,top
J10,69.85,-119.38,0.0,top
J11,69.85,-109.22,180.0,top
J12,111.113,-64.874,180.0,top
J13,69.85,-124.46,0.0,top
J14,133.35,-81.275,0.0,top
J15,133.35,-93.98,0.0,top
J2,69.85,-86.36,0.0,top
J3,66.04,-99.06,0.0,top
J4,125.73,-124.46,270.0,top
J5,104.14,-79.375,180.0,top
J6,69.85,-97.79,180.0,top
J7,133.35,-87.63,180.0,top
J9,66.04,-76.2,0.0,top
N1,100.965,-96.139,0.0,top
PN1,26.035,-82.55,180.0,bottom
Q1,100.33,-76.2,90.0,top
R1,100.33,-80.01,0.0,top
R10,121.92,-107.442,0.0,top
R11,121.92,-102.108,180.0,top
R12,121.92,-105.664,180.0,top
R13,121.92,-109.22,180.0,top
R14,121.92,-110.998,180.0,top
R15,79.756,-78.74,270.0,top
R16,81.28,-78.74,270.0,top
R17,121.92,-112.776,0.0,top
R18,121.92,-114.554,0.0,top
R19,121.92,-116.332,0.0,top
R2,101.6,-72.39,270.0,top
R20,121.92,-118.11,0.0,top
R21,88.34,-110.002,270.0,top
R22,81.84,-113.502,270.0,top
R23,81.84,-110.002,90.0,top
R24,85.09,-107.502,0.0,top
R26,114.554,-76.581,180.0,top
R27,112.395,-76.396,270.0,top
R28,110.871,-76.396,270.0,top
R29,121.666,-76.2,180.0,top
R3,91.879,-69.85,0.0,top
R30,104.14,-72.365,90.0,top
R31,104.14,-119.05,90.0,top
R32,101.6,-119.05,90.0,top
R33,99.06,-119.05,90.0,top
R34,96.52,-119.05,90.0,top
R39,89.535,-74.295,90.0,top
R4,86.995,-69.85,180.0,top
R40,94.488,-109.855,270.0,top
R41,92.24,-118.595,180.0,top
R42,92.24,-122.095,180.0,top
R43,106.045,-109.855,270.0,top
R44,114.805,-118.595,180.0,top
R45,114.805,-122.095,180.0,top
R46,113.538,-69.85,0.0,top
R47,108.77,-69.85,180.0,top
R5,99.06,-72.39,270.0,top
R6,96.52,-72.365,270.0,top
R7,116.713,-97.8662,90.0,top
R8,121.92,-100.33,180.0,top
R9,121.92,-103.886,0.0,top
S1,80.645,-68.58,270.0,top
S2,120.015,-68.58,270.0,top
S3,87.63,-121.92,90.0,top
S4,109.855,-121.92,90.0,top
SW1,129.54,-109.22,0.0,top
U1,73.025,-65.43,90.0,top
U2,127.635,-65.43,90.0,top
U3,89.535,-88.9,315.0,top
U4,111.125,-88.9,45.0,top
U5,100.33,-111.125,180.0,top
U6,85.09,-111.252,0.0,top
X1,80.01,-95.885,315.0,top
